date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/24,13:38:31,22.9027998,120.2731718,0.051,0,-1,-1,-9,25,-1009,0.012412071,0.045606613,-0.051412523,-0.004540463,-1.611232162,0.000375108,22,270
2020/6/24,13:38:34,22.9027998,120.2731705,-0.031,25,-7,-2,10,-37,-995,0.017414093,-0.085933685,0.032303005,-0.005774549,-1.610722542,0.001554496,22,270
2020/6/24,13:38:37,22.9027987,120.2731717,2.527,33,-33,-48,-57,-16,-1008,-0.100859642,0.036628723,-2.527630329,-0.035680726,-1.723907113,0.027122818,22,270
2020/6/24,13:38:40,22.9027998,120.2731697,9.372,9,-39,35,-56,-68,-1007,0.01865387,-0.17184639,-9.372698784,-0.040136565,-1.686577201,0.021039397,22,270
2020/6/24,13:38:43,22.9027988,120.2731687,16.381,31,-80,63,19,-79,-910,-0.09534359,-0.271444321,-16.38113594,-0.002394557,-1.661509395,0.0463131,22,270
2020/6/24,13:38:46,22.9027989,120.2731588,19.934,256,57,287,199,-148,-829,-0.084868431,-1.311578751,-19.94405365,-0.094722755,-1.569042206,0.064464301,22,270
2020/6/24,13:38:49,22.9027986,120.2731058,20.353,-113,213,-45,-19,-6,-966,-0.120984077,-6.724905014,-20.35366821,-0.055458829,-1.682713509,-0.042695634,22,270
2020/6/24,13:38:52,22.9027926,120.2730351,19.912,-91,44,-150,10,15,-985,-0.781162262,-13.97539711,-19.91209793,-0.023653205,-1.668572545,-0.00529089,22,270
2020/6/24,13:38:55,22.9027893,120.2729842,20.185,-51,-41,-110,-115,54,-983,-1.154970169,-19.19452477,-20.18528175,-0.095552601,-1.62283504,0.022870444,22,270
2020/6/24,13:38:58,22.9027861,120.2729146,19.702,-53,57,53,-159,-1,-1019,-1.505929947,-26.33119774,-19.70294762,-0.065184951,-1.657190204,0.012886004,22,270
2020/6/24,13:39:01,22.9027824,120.2728605,19.995,1,-36,-17,-163,-35,-994,-1.9239254,-31.87682915,-19.99517822,-0.066743128,-1.58894074,-0.0008901,22,270
2020/6/24,13:39:04,22.9027798,120.2728041,20.182,-34,4,2,-102,-42,-1016,-2.211287498,-37.65771484,-20.18221283,-0.09104193,-1.619383931,0.010094648,22,270
2020/6/24,13:39:07,22.9027765,120.2727416,20.195,-99,-20,-148,-116,20,-994,-2.572297096,-44.07200623,-20.19546127,-0.095332108,-1.572749376,0.022610705,22,270
2020/6/24,13:39:10,22.9027523,120.272712,19.956,45,-24,73,-178,-93,-1045,-5.268815041,-47.09907532,-19.95676804,-0.099780314,-2.734702349,0.087431625,22,270
2020/6/24,13:39:13,22.9026977,120.2726925,19.807,-32,6,-68,-23,-90,-1028,-11.34479809,-49.1036911,-19.8075695,-0.07334917,-2.955986977,0.134248003,22,270
2020/6/24,13:39:16,22.9026484,120.2726765,20.061,24,91,-7,-149,-145,-1006,-16.84063339,-50.74808502,-20.0613308,-0.082839213,-3.093508244,0.127965838,22,270
2020/6/24,13:39:19,22.9025997,120.2726641,20.236,43,9,-993,41,-74,-985,-22.25725555,-52.01161194,-20.23612213,0.066372879,2.639911175,0.00128665,22,270
2020/6/24,13:39:22,22.9026154,120.2726958,19.976,136,24,129,5,-34,-1025,-20.51152039,-48.76077271,-19.97690964,-0.015299981,1.36322403,0.031470865,22,270
2020/6/24,13:39:25,22.9026327,120.2727451,19.944,23,-37,43,39,-4,-979,-18.59013367,-43.70815277,-19.9449482,0.022281792,0.973312557,-0.00404556,22,270
2020/6/24,13:39:28,22.902656,120.2727964,19.971,52,18,182,27,-19,-1024,-16.28105545,-38.92040253,-19.94835091,-0.014178344,1.120458722,0.031247232,22,270
