date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/12,12:01:22,22.9028729,120.2731829,18.925,-96,35,18,20,0,-859,0.023827791,0.028659821,-18.9257679,-0.002756798,1.227517962,-0.046637516,10,343
2020/6/12,12:01:24,22.9028925,120.2731719,20.03,-85,-15,1,6,0,-937,2.21414566,-1.102962494,-20.03088951,-0.072149284,-0.764073908,-0.017789222,10,343
2020/6/12,12:01:27,22.90293,120.2731462,20.16,7,-59,-87,-51,62,-976,6.398501873,-3.734603882,-20.16045761,-0.07106778,-0.827919006,-0.027969919,10,343
2020/6/12,12:01:29,22.9029687,120.2731133,20.27,10,-83,6,-30,32,-1010,10.70024681,-7.108755112,-20.27060509,-0.057567086,-0.692671537,-0.030965839,10,343
2020/6/12,12:01:32,22.9030039,120.2730767,20.161,132,25,-113,-15,-12,-1011,14.61759472,-10.86096382,-20.16184044,-0.068433106,-1.066159487,-0.061118264,10,343
2020/6/12,12:01:34,22.9030283,120.273034,20.274,-76,16,26,-113,47,-1026,17.33380699,-15.24140358,-20.27432251,-0.094718926,-1.130903244,-0.029852718,10,343
2020/6/12,12:01:37,22.9030497,120.2729809,20.103,-22,0,-31,-97,36,-1027,19.71502113,-20.68985558,-20.10324287,-0.10730613,-1.33587718,-0.034603864,10,343
2020/6/12,12:01:39,22.9030652,120.2729343,20.092,65,9,1,-6,-32,-979,21.44021225,-25.47108269,-20.09250641,-0.101298824,-1.437745929,-0.028600734,10,343
2020/6/12,12:01:42,22.9030785,120.2728846,20.006,-131,59,-440,-6,-23,-989,22.92675018,-30.56114006,-20.00606537,-0.080149971,-1.459666014,-0.070391983,10,343
2020/6/12,12:01:45,22.9030748,120.2728345,20.04,-1,-9,-30,-63,-17,-1002,22.51127052,-35.70133209,-20.04093933,-0.089649379,-1.926335931,-0.007027326,10,343
2020/6/12,12:01:47,22.9030654,120.2727882,20.054,28,5,-29,-91,0,-966,21.47024345,-40.45140076,-20.05454254,-0.079468593,-1.964567184,-0.014504177,10,343
2020/6/12,12:01:50,22.9030563,120.2727433,20.292,-102,19,-495,-63,15,-993,20.45091057,-45.05473328,-20.29210472,-0.082103342,-2.056078911,-0.071180843,10,343
2020/6/12,12:01:52,22.9030278,120.2727075,20.237,-6,-42,3,-91,21,-1004,17.28535271,-48.72564697,-20.23740005,-0.079257376,-2.488266945,0.007163911,10,343
2020/6/12,12:01:55,22.9029976,120.2726761,20.164,-5,-1,13,-126,-12,-1023,13.91954613,-51.94255066,-20.16452408,-0.086303353,-2.556847811,0.007767998,10,343
2020/6/12,12:01:57,22.9029658,120.2726447,20.063,-110,-23,-238,-18,-41,-995,10.37996674,-55.16627502,-20.06395912,-0.069856226,-2.582924128,-0.01686867,10,343
2020/6/12,12:02:00,22.9029275,120.2726278,20.115,-4,-42,-55,-49,-12,-970,6.121517658,-56.8914566,-20.11576271,-0.088577725,-2.967076778,0.009279945,10,343
2020/6/12,12:02:02,22.902888,120.2726182,20.128,-26,41,66,-64,-46,-982,1.710757017,-57.87998962,-20.12893677,-0.070442557,-2.976219177,0.026150528,10,343
2020/6/12,12:02:05,22.9028489,120.2726062,20.31,-128,-2,52,-142,98,-1001,-2.639778376,-59.11352539,-20.31073189,-0.097513638,3.137704372,-0.025493421,10,343
2020/6/12,12:02:07,22.9028034,120.2726107,20.165,-69,13,-95,-83,61,-1031,-7.200944901,-58.72224426,-20.20108414,-0.086881965,2.947479725,0.006576151,10,343
2020/6/12,12:02:10,22.9027588,120.2726178,19.922,81,12,20,-20,-48,-988,-12.67162132,-57.92610931,-19.92276955,-0.071916714,2.786979914,-0.013056488,10,343
2020/6/12,12:02:12,22.9027206,120.2726277,19.918,9,2,-34,-36,-45,-1007,-16.92086792,-56.90390015,-19.91845894,-0.064925715,2.843183041,0.019908324,10,343
2020/6/12,12:02:15,22.9026793,120.272653,19.939,-13,11,-44,-3,0,-998,-21.51958275,-54.31634521,-19.93940735,-0.038370028,2.322391033,0.015913304,10,343
2020/6/12,12:02:17,22.9026489,120.2726849,20.055,-62,-3,-1,-55,51,-986,-24.90797997,-51.043396,-20.05514908,-0.039790507,2.247403622,0.005699906,10,343
2020/6/12,12:02:20,22.9026208,120.2727183,20.151,-51,-4,69,-8,20,-977,-28.03651428,-47.61235046,-20.15139008,-0.036275499,2.277872086,0.035109412,10,343
2020/6/12,12:02:22,22.9025983,120.272756,20.172,-33,-3,-153,-18,-4,-1002,-30.53986931,-43.75469971,-20.17259598,-0.026726946,1.733255744,-0.028123382,10,343
2020/6/12,12:02:25,22.9025891,120.2728058,20.126,1,0,-14,-44,-24,-1034,-31.56490517,-38.64204407,-20.12659836,-0.019499535,1.652693391,-0.011077371,10,343
2020/6/12,12:02:27,22.9025824,120.2728522,20.069,-8,0,17,-61,23,-1027,-32.31467056,-33.88202667,-20.06950951,-0.038671549,1.613083482,-0.01579994,10,343
2020/6/12,12:02:30,22.9025789,120.2728996,20.101,-82,15,-126,-52,86,-964,-32.70110321,-29.02009392,-20.10127258,-0.030809721,1.468373299,-0.030554671,10,343
2020/6/12,12:02:32,22.9025836,120.2729472,20.093,35,5,9,-30,-14,-990,-32.17939377,-24.13898659,-20.09338188,-0.030490279,1.357470989,-0.022225957,10,343
2020/6/12,12:02:35,22.9025905,120.2729989,20.136,55,32,-35,40,-81,-973,-31.41278267,-18.84548759,-20.13663864,-0.023723736,1.350651503,-0.016151186,10,343
2020/6/12,12:02:37,22.902599,120.2730455,20.111,20,0,-334,-12,19,-984,-30.46151543,-14.06043434,-20.11134338,-0.047284573,1.040948987,-0.079109065,10,343
2020/6/12,12:02:40,22.9026266,120.2730866,20.125,-52,16,-32,-50,121,-990,-27.38941956,-9.852872849,-20.12504959,-0.034155425,0.76379329,-0.038864344,10,343
2020/6/12,12:02:42,22.9026583,120.2731239,20.092,-5,17,4,-47,7,-996,-23.85846519,-6.024656296,-20.09236145,-0.045795515,0.795672297,-0.020253409,10,343
2020/6/12,12:02:45,22.9026914,120.2731557,20.085,-31,41,-217,-28,50,-1012,-20.17282677,-2.765882492,-20.0858078,-0.05727708,0.205875382,-0.079197109,10,343
2020/6/12,12:02:47,22.902738,120.2731673,20.151,83,-21,-43,-17,-48,-1014,-14.99144745,-1.569566727,-20.15113449,-0.06223575,0.028047547,-0.038397342,10,343
2020/6/12,12:02:50,22.9027872,120.273174,20.098,8,0,34,-54,41,-1019,-9.511094093,-0.887584686,-20.09813309,-0.050506528,0.072563171,-0.032474931,10,343
2020/6/12,12:02:52,22.9028208,120.2731786,21.298,38,-101,-5,-5,31,-932,-5.77524662,-0.414693832,-21.2988987,0.011898203,0.061724022,-0.031920146,10,343
2020/6/12,12:02:55,22.9028498,120.2731832,22.556,-10,112,13,-5,-43,-981,-2.547592402,0.057685852,-22.55684853,-0.06035541,0.079326689,-0.055851061,10,343
2020/6/12,12:02:57,22.9028745,120.2731846,22.633,-40,-9,-10,-58,70,-1013,0.202828169,0.200181961,-22.63301849,0.041174486,0.051773105,-0.018335,10,343
2020/6/12,12:03:00,22.9028735,120.2731831,22.63,-9,-18,-7,42,-11,-1002,0.08632493,0.04867363,-22.63009262,-0.006520291,0.034493014,-0.006799688,10,343
