date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/16,11:44:29,22.9028408,120.2731942,0.043,3,-4,2,61,4,-1005,0.003551483,0.223151207,-0.043204486,0.038772251,-1.954030633,0.004695481,20,270
2020/6/16,11:44:32,22.9028536,120.2731936,1.002,8,-115,1240,-94,-31,-1066,1.43516922,0.158330917,-1.002544045,-0.193307534,-1.278839231,0.054271795,20,270
2020/6/16,11:44:35,22.9029103,120.2731499,6.424,-129,30,42,-70,35,-1004,7.756952763,-4.325157166,-6.424319267,-0.141751334,-0.710775614,-0.042909801,20,270
2020/6/16,11:44:38,22.9029832,120.2730859,13.209,153,54,20,-78,24,-992,15.86542606,-10.88932037,-13.20919991,-0.116169244,-0.577446818,-0.032670345,20,270
2020/6/16,11:44:41,22.9030538,120.2730338,19.087,-97,7,-373,-127,98,-916,23.72209167,-16.22860336,-19.08775902,-0.015460532,-0.647413969,-0.175435945,20,270
2020/6/16,11:44:44,22.9030675,120.2729477,20.521,78,208,-20,-125,-59,-940,25.24734879,-25.05901718,-20.52132797,-0.108418651,-1.568447113,-0.013064214,20,270
2020/6/16,11:44:47,22.9030601,120.2728367,20.123,-76,-9,-32,-127,29,-1004,24.42786217,-36.44276047,-20.12376595,-0.125816077,-1.638263345,0.050333995,20,270
2020/6/16,11:44:50,22.9030282,120.2727261,20.039,67,77,-127,-123,-27,-1036,20.87889862,-47.77876282,-20.03931999,-0.111464858,-2.427233458,-0.079144359,20,270
2020/6/16,11:44:53,22.9029277,120.2726603,19.904,28,21,-22,-98,-35,-996,9.688527107,-54.52483749,-19.90428162,-0.108002558,-2.690625906,0.007595426,20,270
2020/6/16,11:44:56,22.9028193,120.272631,19.956,13,6,-256,-91,-78,-1022,-2.39315033,-57.53333664,-19.95637131,-0.102468006,3.003130674,-0.016406514,20,270
2020/6/16,11:44:59,22.9027157,120.2726727,20.054,34,-94,69,-134,-22,-966,-13.91532135,-53.25805283,-20.05430603,-0.075593784,2.692564487,0.057251412,20,270
2020/6/16,11:45:02,22.9026154,120.272741,20.036,-29,-18,-531,-20,-77,-1058,-25.0912056,-46.24797058,-20.03634834,0.014721535,2.25717783,-0.112083144,20,270
2020/6/16,11:45:05,22.9025921,120.2728509,19.913,90,-39,75,-56,38,-997,-27.68487167,-34.98568344,-19.91397858,-0.025844455,1.574251175,-0.019957311,20,270
2020/6/16,11:45:08,22.9025966,120.2729752,20.082,-73,65,-193,-90,43,-1016,-27.17969513,-22.23793793,-20.08255386,-0.00265477,1.44850111,-0.086609252,20,270
2020/6/16,11:45:11,22.9026552,120.2730685,20.234,-126,43,-106,-51,127,-933,-20.65904427,-12.67228699,-20.23418808,-0.039123304,0.623553753,-0.148054838,20,270
2020/6/16,11:45:14,22.9027505,120.2731288,19.872,-35,121,1,-122,128,-1028,-10.04485703,-6.483205795,-19.87229729,-0.043594643,0.549996674,-0.067934863,20,270
2020/6/16,11:45:17,22.9028314,120.2731755,19.799,200,123,97,-61,86,-1016,-1.037847519,-1.696149826,-19.79903984,0.094689839,0.626872361,-0.015337332,20,270
2020/6/16,11:45:20,22.9028398,120.2731806,16.704,-67,70,38,16,54,-1054,-0.101948738,-1.169001579,-16.7044487,-0.019142913,0.561249137,-0.060307566,20,270
